Kabupaten,Tahun,PDRB,PE(%),TPT(%),Kemiskinan_(P0)_(%),IPM , Anggaran_PAD, Realisasi_PAD, Anggaran_Transf, Realisasi_Transf, Ekonomi, Kesehatan, Pendidikan
Bone,2024,26825.37,5.55,2.28,9.58,68.36,287.72,267.11,2118.29,2411.50,221.82,536.11,601.88
Bulukumba,2015,6774.32,5.62,3,8.15,65.58,109.70,106.04,810.85,893.75,80.35,205.49,549.84
Bulukumba,2016,7232.84,6.77,3.37,8.06,66.46,130.35,128.24,1176.67,1175.65,88.73,253.79,550.64
Bulukumba,2017,7730.91,6.89,3.73,7.97,67.08,166.36,201.08,1240.95,1154.30,69.65,269.86,461.23
Bulukumba,2018,8121.33,5.05,3.62,7.48,67.7,191.06,137.71,1197.85,1171.88,61.14,255.32,475.41
Bulukumba,2019,8567.46,5.49,3.06,7.26,68.28,194.29,173.00,1181.83,1163.23,77.15,293.47,463.83
Bulukumba,2020,8604.2,0.43,3.42,7.1,68.99,193.00,168.42,1228.09,1139.55,58.98,279.38,474.24
Bulukumba,2021,9013.58,4.76,3.14,7.43,69.62,214.27,153.24,1176.72,1085.32,153.52,322.23,445.05
Bulukumba,2022,9357.11,3.81,1.26,7.39,70.34,228.27,155.09,1131.91,1108.33,240.87,259.22,406.34
Bulukumba,2023,9741.4,4.11,1.31,7.22,71.21,220.90,170.21,1216.36,1205.84,318.39,311.28,477.14
Bulukumba,2024,10189.82,4.60,2.23,6.71,71.97,253.50,176.81,1244.08,1255.69,223.00,347.96,555.95
Enrekang,2015,3623.22,6.91,1.33,13.82,70.03,47.21,49.21,610.60,716.85,101.35,127.46,304.93
Enrekang,2016,3899.59,7.63,1.60,13.41,70.79,91.79,56.38,985.82,936.45,97.85,135.90,331.92
Enrekang,2017,4166.4,6.84,1.87,13.16,71.44,102.78,99.67,832.66,854.15,233.11,162.06,296.24
Enrekang,2018,4302.05,3.26,1.66,12.49,72.15,86.58,66.04,883.31,876.13,66.92,161.33,301.12
Enrekang,2019,4535.55,5.43,2.15,12.33,72.66,109.26,73.24,911.19,896.44,62.07,189.84,338.72
Enrekang,2020,4592.23,1.25,2.44,12.17,72.76,104.66,78.25,959.33,894.68,51.61,201.53,354.93
Enrekang,2021,4884.37,6.36,2.34,12.47,72.91,99.78,73.31,905.19,877.88,106.56,220.00,303.52
Enrekang,2022,5065.36,3.71,0.58,12.39,73.39,95.99,90.17,835.70,823.68,305.35,230.92,385.73
Enrekang,2023,5183.42,2.33,1.53,12.69,73.89,154.32,77.13,909.27,929.27,163.18,126.79,70.83
Enrekang,2024,5418.7,4.54,1.51,11.25,74.61,145.67,61.02,981.40,926.50,160.67,294.74,385.10
Gowa,2015,10380.22,6.79,4.96,8.27,66.87,131.69,154.77,892.56,953.79,93.41,207.13,565.52
