Date,Open,High,Low,Close,Adj Close,Volume
"Jan 19, 2023",6765.76,6820.99,6754.56,6819.92,6819.92,154234600.00
"Jan 18, 2023",6767.19,6790.17,6721.47,6765.80,6765.80,194959200.00
"Jan 17, 2023",6688.07,6801.88,6688.07,6767.35,6767.35,217634400.00
"Jan 16, 2023",6641.84,6688.07,6627.71,6688.07,6688.07,154893500.00
"Jan 13, 2023",6629.94,6658.49,6600.60,6641.84,6641.84,165594900.00
"Jan 12, 2023",6584.50,6662.24,6574.10,6629.94,6629.94,148901900.00
"Jan 11, 2023",6622.55,6622.80,6557.93,6584.46,6584.46,124903900.00
"Jan 10, 2023",6688.28,6690.24,6570.25,6622.51,6622.51,144817300.00
"Jan 9, 2023",6684.57,6726.98,6638.66,6688.28,6688.28,135949700.00
"Jan 6, 2023",6653.77,6708.65,6598.66,6684.57,6684.57,109855600.00
"Jan 5, 2023",6813.29,6813.43,6621.10,6653.85,6653.85,180589300.00
"Jan 4, 2023",6888.81,6900.61,6813.25,6813.25,6813.25,142541400.00
"Jan 3, 2023",6850.99,6908.01,6838.58,6888.77,6888.77,156894900.00
